1.tif
migrating object count,18
m1,1329.6649954029774
m2,468.91470439729227
m3,439.33131006109727
m4,399.6961345822599
m5,280.6652810733811
m6,1361.6725010074927
m7,284.2534080710379
m8,545.4851052045326
m9,496.26202756205316
m10,215.67568244936655
m11,189.4333655932872
m12,265.04716561397146
m13,378.71493236998197
m14,273.5031992500271
m15,264.70549673174526
m16,778.6173643067563
m17,1361.6725010074927
m18,1256.0015923556784


10.tif
migrating object count,22
m1,556.6848300429966
m2,593.8392038254127
m3,458.53026072441503
m4,361.2118491965622
m5,328.0060975042995
m6,407.6567183305091
m7,372.6258176777342
m8,516.4348942509598
m9,470.52311314110807
m10,471.3013897709193
m11,507.7735715848157
m12,768.6800374668253
m13,533.0562822066728
m14,280.4460732476032
m15,376.25789028271555
m16,561.9475064452195
m17,350.4069063246328
m18,303.9029450334432
m19,432.8001848428441
m20,368.0869462504749
m21,369.67688594230503
m22,560.8359831537202


2.tif
migrating object count,3
m1,1294.877986530005
m2,1337.1349969243943
m3,900.082773971372


3.tif
migrating object count,2
m1,1183.731810842304
m2,1502.877905885904


4.tif
migrating object count,16
m1,1597.904878270293
m2,294.462221685567
m3,277.01624501101014
m4,321.72659200010185
m5,540.6930737488691
m6,236.17154782064668
m7,336.3004608976919
m8,1099.3930143492817
m9,1099.3930143492817
m10,505.0
m11,613.3530793922861
m12,1099.3930143492817
m13,674.8962883288068
m14,954.6109155043221
m15,944.8751240243337
m16,606.1790164629588


5.tif
migrating object count,15
m1,1510.8252711680461
m2,1117.4587240699318
m3,1510.8252711680461
m4,950.0194734846228
m5,728.8154773329118
m6,1510.8252711680461
m7,763.9823296385853
m8,701.9950142273092
m9,1147.9947735072665
m10,1065.4224514247858
m11,1418.5415045038337
m12,1458.7998491911083
m13,1384.2030197915333
m14,1378.8157962541625
m15,1510.0082781230042


6.tif
migrating object count,12
m1,1300.815897811831
m2,1336.0392958292807
m3,576.1779239089259
m4,325.7115288103877
m5,1346.421182245734
m6,388.3722441163889
m7,274.64158461529456
m8,255.22147245088922
m9,324.2298567374695
m10,571.5470234372672
m11,370.56713291925934
m12,356.24850876880873


7.tif
migrating object count,15
m1,1245.6139048677965
m2,1441.9407061318436
m3,278.91575789115967
m4,253.3554814879678
m5,413.01089574005186
m6,472.72507866623704
m7,515.6006206357786
m8,384.79345108772316
m9,214.84180226389836
m10,253.53895164254348
m11,344.62298240250897
m12,546.8061813842269
m13,344.7259781333574
m14,373.8836717483126
m15,457.54234776684876


8.tif
migrating object count,0


9.tif
migrating object count,10
m1,947.7346675098469
m2,1736.1163555476344
m3,211.303099835284
m4,672.7949167465521
m5,788.5106213615642
m6,720.9361968995591
m7,707.2778803271032
m8,991.1458015852158
m9,1367.0091440806093
m10,1323.3087319291747


copy.png
migrating object count,22
m1,556.6848300429966
m2,593.8392038254127
m3,458.53026072441503
m4,361.2118491965622
m5,328.0060975042995
m6,407.6567183305091
m7,372.6258176777342
m8,516.4348942509598
m9,470.52311314110807
m10,471.3013897709193
m11,507.7735715848157
m12,768.6800374668253
m13,533.0562822066728
m14,280.4460732476032
m15,376.25789028271555
m16,561.9475064452195
m17,350.4069063246328
m18,303.9029450334432
m19,432.8001848428441
m20,368.0869462504749
m21,369.67688594230503
m22,560.8359831537202


test.tif
migrating object count,6
m1,1507.3171530902182
m2,955.3245521810899
m3,231.19256043393784
m4,1193.6096514355102
m5,1074.5254766640016
m6,1001.3440967020279


